user_id,name,email,age,plan_type,signup_date,churned
U1001,Rachel Shea,susanyoung@torres.com,50,Basic,2024-12-31,0
U1002,Sheila Zhang,daisypatel@gmail.com,30,Standard,2024-06-24,0
U1003,Alicia Oconnor,grangel@avila.com,25,Standard,2024-04-08,0
U1004,Amy Davis,anna27@hotmail.com,57,Premium,2024-02-03,0
U1005,Samantha Lopez,shannonmurphy@watts.com,57,Premium,2024-11-15,1
U1006,Kevin Barnes,johnstonmichelle@rivera.com,52,Standard,2023-11-11,0
U1007,Raymond Williams,matthew16@reynolds.net,26,Standard,2024-03-18,0
U1008,Stephanie Weaver,vazquezbruce@hotmail.com,21,Basic,2025-02-20,0
U1009,Alexander Pugh,barnettsherri@shaffer.com,21,Basic,2024-06-17,0
U1010,Mr. Shane Vargas,carterapril@allen.com,60,Premium,2023-12-16,1
U1011,Dylan Stevens,montgomeryrebecca@allen-stanton.biz,50,Basic,2023-11-23,0
U1012,Samantha Wright,nicolecruz@gmail.com,45,Standard,2024-02-20,0
U1013,Robert Solomon,kirsten22@hotmail.com,55,Basic,2024-09-22,0
U1014,Amy Ramirez,mitchellann@hotmail.com,51,Standard,2024-09-29,0
U1015,Lauren Hess,bryanjohnson@hotmail.com,32,Premium,2024-04-18,1
U1016,Alicia Stanley DDS,zoe82@keller-morgan.com,26,Basic,2023-09-12,0
U1017,Ronald Bird,christopherbryant@benson-roberson.com,32,Standard,2025-07-27,1
U1018,Paul Anderson,morrisrobert@white.com,25,Standard,2023-08-28,1
U1019,Paul Martinez,xedwards@wells.net,42,Basic,2025-07-13,0
U1020,Kaitlyn Thompson,williamsjanet@gmail.com,30,Standard,2024-07-21,0
U1021,Andrew Schroeder,perezrobert@gmail.com,39,Standard,2024-09-05,0
U1022,Susan Snyder,bauerjennifer@michael.org,25,Basic,2024-07-09,0
U1023,Hailey Camacho,tyronevincent@gmail.com,51,Basic,2024-11-28,0
U1024,Sarah Williams,barrymcdonald@perez.com,40,Premium,2023-12-11,0
U1025,Brian Clark,eric02@rodriguez-johnson.com,50,Standard,2024-09-09,1
U1026,Jerry Olson,tprice@yahoo.com,59,Standard,2024-12-12,0
U1027,Denise Meyer,pmiller@gmail.com,54,Basic,2023-09-28,0
U1028,William Hodges,hendersonpatrick@gmail.com,32,Standard,2024-04-06,0
U1029,Michael Lee,annemclean@yahoo.com,53,Basic,2023-09-26,0
U1030,Kelsey King,pcontreras@hotmail.com,26,Basic,2023-12-23,0
U1031,Patricia Thomas,madison76@grant.com,33,Basic,2025-04-16,0
U1032,Sarah Suarez,ifriedman@baker.com,45,Standard,2024-10-31,0
U1033,Michelle Palmer,tylertina@yahoo.com,25,Basic,2024-04-07,0
U1034,Kristen Hurley,johnsontim@taylor-gardner.com,21,Basic,2024-03-14,0
U1035,David Keller,robertanthony@yahoo.com,26,Premium,2025-05-08,0
U1036,Lynn Schneider,freemanantonio@hotmail.com,41,Premium,2024-10-18,0
U1037,Calvin Lutz DDS,marvin28@gmail.com,33,Basic,2024-12-30,0
U1038,Joseph Hamilton,cheryl46@yahoo.com,25,Standard,2024-08-15,1
U1039,Jonathan Aguirre,andreaharris@hotmail.com,59,Standard,2024-03-16,1
U1040,Ryan Spencer,james29@hotmail.com,29,Premium,2025-04-03,1
U1041,Stephen Green,jameswalters@hotmail.com,53,Basic,2024-01-05,0
U1042,Katherine Flores,kelleypeter@walker.net,40,Premium,2024-03-10,1
U1043,Brittany Hopkins,alexander38@gibson.com,35,Premium,2024-12-10,0
U1044,Brittney Ramirez,daniel94@mccormick-davis.com,60,Premium,2023-10-09,0
U1045,Micheal Cross,adamssusan@perez.net,34,Standard,2024-08-19,0
U1046,Thomas Weiss,andersonjodi@pena-jones.net,51,Standard,2024-01-28,0
U1047,Heather Ferguson,pparker@yahoo.com,46,Standard,2023-08-18,1
U1048,Jennifer Sutton,melissareynolds@yahoo.com,29,Standard,2023-10-27,0
U1049,Jeremy Ayers,diana01@gmail.com,45,Premium,2023-08-20,0
U1050,Amy Berry,morganjeffrey@yahoo.com,37,Basic,2024-11-29,0
U1051,Christian Foster,david15@khan.com,20,Standard,2023-10-03,1
U1052,Monica Duarte,michelle46@miller.net,49,Basic,2025-07-20,0
U1053,William Miller,anthony76@yahoo.com,34,Premium,2025-06-27,0
U1054,Mary Garcia,toddmorgan@george-miller.org,54,Standard,2024-03-27,0
U1055,Sandra Lee,robertcook@hotmail.com,57,Basic,2025-05-21,0
U1056,Audrey Clark,kelly10@smith.com,37,Premium,2024-02-28,0
U1057,Michael Cline,christopherjohnson@ross.com,43,Premium,2025-06-16,0
U1058,Susan Strickland,jesse14@gray.org,52,Basic,2025-07-17,0
U1059,Shannon Benson,natalie38@yahoo.com,23,Basic,2024-11-16,0
U1060,Margaret Padilla,uanderson@yahoo.com,43,Basic,2024-04-06,0
U1061,Victoria Anderson DVM,jeremykrause@gmail.com,46,Basic,2024-12-10,0
U1062,Angela Allen,gallowayrichard@yahoo.com,28,Standard,2024-01-08,0
U1063,Whitney Crane,kellyschultz@montoya.org,37,Standard,2023-11-01,1
U1064,Kelli Stephenson,juliedillon@gmail.com,27,Premium,2024-08-15,0
U1065,Michael Mccall,brenda08@harris.com,52,Basic,2025-03-15,0
U1066,James Sanchez,joe61@ferguson.org,38,Standard,2025-06-17,0
U1067,Sarah Vasquez,paynedaniel@wilson.biz,24,Premium,2025-03-14,1
U1068,Henry Collins,kimberlyhenson@haley.net,56,Basic,2024-06-08,0
U1069,Judy Williams,william44@king.org,41,Standard,2025-03-17,0
U1070,Lori Martinez,shawnspears@turner-rivera.com,35,Standard,2024-09-22,0
U1071,Barbara Webster,lindsey89@jackson.com,20,Premium,2024-09-18,0
U1072,Diana Stone,burtonbradley@castillo.com,42,Premium,2025-04-11,0
U1073,Nancy Atkinson,wthomas@leonard.com,31,Basic,2024-09-08,0
U1074,Maria Moss,stephenevans@gmail.com,26,Standard,2025-05-30,0
U1075,Kim Richards,garrettmichael@nolan.net,37,Basic,2024-04-09,0
U1076,Christine Carlson,tammyburton@hotmail.com,30,Premium,2025-02-13,1
U1077,Emily Brown,cbowen@archer-collins.com,37,Standard,2024-08-23,0
U1078,Jennifer Bishop,jose52@smith.com,54,Premium,2024-10-12,0
U1079,Michael Kidd,mball@young.net,50,Basic,2025-04-15,0
U1080,Joseph Edwards,christopherlowery@francis.com,51,Standard,2025-05-03,0
U1081,Christopher Kerr,amandamoreno@hotmail.com,53,Basic,2025-07-21,0
U1082,Gwendolyn Harmon,anthony97@david-clark.info,50,Basic,2025-03-14,0
U1083,Natalie Murphy,tylernewman@raymond-lawson.org,60,Standard,2024-03-14,0
U1084,Carol Jacobson,markking@jackson-moore.com,43,Premium,2024-12-09,0
U1085,Stacy Mejia,tiffany57@hotmail.com,50,Basic,2024-04-16,0
U1086,Michelle Spencer,tayloralexander@moore.com,41,Premium,2023-12-02,0
U1087,Sara Brown,kgarcia@yahoo.com,48,Standard,2025-06-12,0
U1088,Marc Harris,chavezerica@harrington.com,32,Premium,2023-11-22,0
U1089,Adam Cummings,parksclaudia@yahoo.com,35,Premium,2025-04-12,0
U1090,Sandra Wells,joshuayang@hotmail.com,22,Premium,2025-07-09,0
U1091,Jaclyn Miller,lsullivan@nolan.com,23,Premium,2025-07-16,0
U1092,Tracey Bailey,sharontaylor@gmail.com,52,Premium,2024-09-10,0
U1093,James Gross,longamanda@yahoo.com,33,Basic,2023-10-15,1
U1094,Kelly Graham,scottpaul@hotmail.com,18,Basic,2025-04-11,0
U1095,Whitney Hanson,jsteele@mccarthy-patterson.biz,52,Premium,2023-11-04,0
U1096,Rodney Mccarthy,brooke59@jones.net,48,Basic,2025-04-11,0
U1097,Brian Howard,barbaraholmes@cobb-lopez.info,29,Basic,2023-08-07,0
U1098,Jennifer Benton,danieljones@hotmail.com,19,Premium,2024-11-23,0
U1099,David Swanson,daniel42@blackwell-henson.com,19,Premium,2024-12-09,0
U1100,Carol Wells,wendypage@yahoo.com,38,Basic,2023-09-24,0
U1101,Spencer Matthews,johnsonjoshua@barnett-stokes.com,46,Premium,2024-06-19,0
U1102,Colton Phillips,priceandre@jones-jennings.org,44,Standard,2024-05-08,0
U1103,Gary King,john84@gmail.com,45,Basic,2024-09-17,0
U1104,Zachary Cooper,yescobar@cook.org,38,Basic,2023-12-28,0
U1105,Jacqueline Wilson,hayesmark@gmail.com,23,Standard,2024-05-27,1
U1106,David Williams,icochran@gmail.com,18,Basic,2023-10-16,1
U1107,Brandon Alvarez,mariagonzalez@yahoo.com,29,Basic,2025-02-27,1
U1108,Bradley Miller,larrycox@yahoo.com,28,Premium,2024-08-04,0
U1109,Timothy Mathews,joshua71@baldwin.com,60,Standard,2024-11-07,0
U1110,Patricia Rosales,ngraham@davis.com,53,Premium,2023-12-15,0
U1111,Justin Norman,cdominguez@yahoo.com,41,Premium,2025-03-24,0
U1112,Laura Sampson,kellydrew@gmail.com,40,Premium,2024-10-15,1
U1113,Victor Best,craigmckenzie@gmail.com,21,Premium,2024-06-24,0
U1114,Michael Adams,bowerswanda@hotmail.com,52,Premium,2024-12-29,0
U1115,Michelle Howell,perezdavid@liu-jones.info,31,Basic,2024-05-19,0
U1116,Kathleen Johnson,sotogeorge@spencer.org,18,Basic,2023-08-05,0
U1117,Kyle Griffith,floresrandall@kirk-carter.com,55,Basic,2024-08-22,0
U1118,Bobby Bryant,valdezsean@brown.com,58,Standard,2024-03-28,0
U1119,Juan Sanchez,jose19@hotmail.com,45,Premium,2024-02-03,0
U1120,Tony Spencer,karen40@taylor-patterson.net,55,Premium,2024-08-15,0
U1121,Johnny Johnson,ywiley@barrera.com,29,Premium,2024-03-14,0
U1122,Holly Murray,shawnfoster@yahoo.com,22,Standard,2024-03-20,0
U1123,Sarah Williams,mooremiranda@flores-harper.com,52,Basic,2024-02-09,0
U1124,Christine Walker,daniellecarpenter@franklin.com,50,Basic,2024-08-03,0
U1125,Dustin Davis,goodlisa@hotmail.com,35,Premium,2024-01-14,0
U1126,Lisa Owen,seth73@yahoo.com,47,Premium,2023-08-02,0
U1127,Joshua Silva,lisabell@hotmail.com,52,Premium,2024-08-09,0
U1128,Gary Mcdaniel,lthomas@hotmail.com,34,Premium,2024-11-23,0
U1129,Jason Johnson,vgreene@hotmail.com,49,Standard,2024-10-12,0
U1130,John Lawson,victoria25@stanley.com,35,Basic,2023-08-09,1
U1131,Melissa Luna,thomas16@valdez-smith.info,50,Basic,2024-09-09,0
U1132,Mr. Jeffrey Miller DDS,shaneparker@padilla-glass.com,45,Premium,2024-12-03,1
U1133,Rachel Prince,marc62@hotmail.com,27,Premium,2024-04-28,0
U1134,Nathan Sanchez,calvin37@santiago.com,35,Standard,2024-07-20,0
U1135,Thomas Rodriguez,warrenjacob@yahoo.com,44,Basic,2024-10-18,0
U1136,Connie Nguyen,brianparker@williamson.biz,43,Standard,2025-01-02,0
U1137,Carla King,averymegan@yahoo.com,25,Basic,2024-11-22,0
U1138,Michelle Howard,jennifer18@yahoo.com,29,Basic,2024-09-24,1
U1139,Angel Smith,yatesyolanda@yahoo.com,23,Basic,2023-10-06,0
U1140,Kevin Luna,wwilliams@gross.com,52,Basic,2025-03-18,0
U1141,Theodore Banks,frankaustin@hotmail.com,49,Basic,2025-07-09,0
U1142,Mark Boyer,martinryan@gmail.com,40,Basic,2023-11-18,0
U1143,Larry Blankenship,tylerdiaz@pierce.com,43,Premium,2024-01-13,0
U1144,Allison Williams,allenjustin@hurley.org,25,Basic,2024-11-09,0
U1145,Stephanie Cox,robert83@yahoo.com,52,Standard,2025-04-23,0
U1146,Matthew Case,rebeccawashington@hotmail.com,38,Premium,2025-03-01,0
U1147,George Jackson,jramos@anderson-duncan.com,59,Standard,2024-01-25,0
U1148,Danielle Holmes,adam25@hotmail.com,35,Standard,2024-03-07,0
U1149,Molly Franklin,ireed@mcdonald.com,46,Standard,2024-01-19,0
U1150,Jason Sims,dburns@gmail.com,59,Premium,2025-06-12,0
U1151,Vanessa Gomez,jamesallen@hotmail.com,28,Basic,2023-09-26,0
U1152,Lucas Green,nicole28@hotmail.com,31,Standard,2025-07-17,0
U1153,Philip Leonard,mriddle@yahoo.com,31,Basic,2024-11-17,0
U1154,Angela Sullivan,jeanetteramirez@hotmail.com,34,Standard,2024-10-22,1
U1155,Kyle Wilson DDS,jeffreyburns@marquez.com,41,Basic,2024-01-30,0
U1156,Paula Cox,angelasmith@hall.com,55,Premium,2024-02-16,1
U1157,Vanessa Kelly,sharon72@wilson.com,29,Basic,2024-01-21,0
U1158,Christopher Jones,lucascharles@hotmail.com,23,Basic,2024-10-11,0
U1159,Andrea Arnold,nealdeborah@hotmail.com,36,Basic,2024-06-10,0
